"BFN","LICENSE_TYPE","LICENSE_STATUS","LICENSE_SUB_TYPE","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2013-BFN-1070475","Combined License","License Issued - Active","NA","3/24/2019 12:00:00 AM","GINZA SUSHI & GRILL INC","2104 S UNIVERSITY BLVD  DENVER 80210"
"2014-BFN-1070590","Combined License","License Issued - Active","NA","2/28/2019 12:00:00 AM","7-ELEVEN INC","2363 E EVANS AVE  DENVER 80210"
"2014-BFN-1070778","Combined License","License Issued - Active","NA","3/12/2019 12:00:00 AM","TGTGS LLC","3542  WALNUT ST  DENVER 80205"
"2014-BFN-1070952","Combined License","License Issued - Active","NA","6/3/2019 12:00:00 AM","ALASKA ENTERPRISES LLC","4550 S KIPLING ST 6 DENVER 80127"
"2014-BFN-1071507","Combined License","License Issued - Active","NA","9/1/2018 12:00:00 AM","CVH INC","500  SANTA FE DR  DENVER 80204"
"2014-BFN-1072200","Combined License","License Issued - Active","NA","8/13/2018 12:00:00 AM","PROLETARIAT, LLC","1701  WYNKOOP ST 155 DENVER 80202"
"2014-BFN-1072773","Combined License","License Issued - Active","NA","12/10/2018 12:00:00 AM","KAFFA COFFEE LLC","7800 E COLFAX AVE  DENVER 80220"
"2014-BFN-1072969","Combined License","License Issued - Active","NA","11/15/2018 12:00:00 AM","GOODBIRD KITCHEN SOUTH BROADWAY, LLC","2200 S BROADWAY   DENVER 80210"
"2014-BFN-1073363","Combined License","License Issued - Active","NA","2/26/2019 12:00:00 AM","ZCCL, INC","16221 E 40TH AVE D DENVER 80239"
"2014-BFN-1073645","Combined License","License Issued - Active","NA","10/13/2018 12:00:00 AM","DIA HOSPITALITY, LLC","18600 E 63RD AVE  DENVER 80249"
"2014-BFN-1074049","Combined License","License Issued - Active","NA","11/2/2018 12:00:00 AM","INDUSTRIA SV LLC","3242 E COLFAX AVE  DENVER 80206"
"2014-BFN-1074235","Combined License","License Issued - Active","NA","11/17/2018 12:00:00 AM","CRIMSON ROOM, LLC","1403  LARIMER ST 200 DENVER 80202"
"2014-BFN-0004832","Combined License","License Issued - Active","NA","3/17/2019 12:00:00 AM","BACON RESTAURANT DENVER, LLC","2434 W 44TH AVE  DENVER 80211"
"2002-BFN-88856","Parking Lot, Garage","License Issued - Active","NA","11/14/2018 12:00:00 AM","PARKING & TRANSPORTATION SERVICES","1870 S HIGH ST  DENVER 80210"
"2002-BFN-93894","Parking Lot, Garage","License Issued - Active","NA","11/14/2018 12:00:00 AM","PARKING & TRANSPORTATION SERVICES","1899 E EVANS AVE  DENVER 80210"
"2002-BFN-10346","Parking Lot, Garage","License Issued - Active","NA","12/31/2018 12:00:00 AM","CENTRAL PARKING","1730  GLENARM PL  DENVER 80202"
"2002-BFN-10149","Parking Lot, Garage","License Issued - Active","NA","12/31/2018 12:00:00 AM","SABUS ENTERPRISES INC","575  BANNOCK ST  DENVER 80204"
"2002-BFN-38844","Parking Lot, Garage","License Issued - Active","NA","12/31/2018 12:00:00 AM","THE SABUS COMPANY","320 W 13TH AVE  DENVER 80204"
"2007-BFN-1028711","Parking Lot, Garage","License Issued - Active","NA","8/23/2018 12:00:00 AM","CENTRAL PARKING","1720 N FEDERAL BLVD 750 DENVER 80202"
"2009-BFN-1043127","Parking Lot, Garage","License Issued - Active","NA","12/31/2018 12:00:00 AM","SABUS ENTERPRISES INC.","701 N SANTA FE DR  DENVER 80204"
"2009-BFN-1043637","Parking Lot, Garage","License Issued - Active","NA","10/29/2018 12:00:00 AM","STANDARD PARKING CORPORATION","8496  PENA BLVD  DENVER "
"2010-BFN-1049109","Parking Lot, Garage","License Issued - Active","NA","10/6/2018 12:00:00 AM","CENTRAL PARKING SYSTEM","2061  ARAPAHOE ST  DENVER "
"2011-BFN-1055443","Parking Lot, Garage","License Issued - Active","NA","8/5/2018 12:00:00 AM","CENTRAL PARKING SYSTEM","1801  GLENARM PL  DENVER "
"2011-BFN-1055423","Parking Lot, Garage","License Issued - Active","NA","8/5/2018 12:00:00 AM","CENTRAL PARKING SYSTEM, INC","1935 N SHERMAN ST  DENVER "
"2011-BFN-1057508","Parking Lot, Garage","License Issued - Active","NA","2/15/2019 12:00:00 AM","2200 LAWRENCE PARKING LOT","  2200 LAWRENCE ST.   DENVER 80205"
"2011-BFN-1057683","Parking Lot, Garage","License Issued - Active","NA","5/17/2019 12:00:00 AM","ONE PARKING CSB, INC.","1600 N BROADWAY   DENVER 80202"
"2012-BFN-1057987","Parking Lot, Garage","License Issued - Active","NA","2/7/2019 12:00:00 AM","LAZ PARKING MIDWEST","410  17TH ST  DENVER 80202"
"2013-BFN-1067472","Parking Lot, Garage","License Issued - Active","NA","7/30/2018 12:00:00 AM","DOUGLAS PARKING, LLC","1670 N BROADWAY   DENVER 80202"
"2014-BFN-0004343","Parking Lot, Garage","License Issued - Active","NA","11/19/2018 12:00:00 AM","REPUBLIC PARKING SYSTEM","1415  Platte St  Denver "
"2015-BFN-0002930","Parking Lot, Garage","License Issued - Active","NA","3/4/2019 12:00:00 AM","ABM PARKING SERVICES INC.","2121  Childrens Museum Dr  Denver 80211"
"2015-BFN-0004230","Parking Lot, Garage","License Issued - Active","NA","9/30/2018 12:00:00 AM","HPT TRS IHG-2, INC.","1450  GLENARM PL  DENVER 80202"
"2015-BFN-0007970","Parking Lot, Garage","License Issued - Active","NA","2/18/2019 12:00:00 AM","LAZ PARKING MIDWEST, LLC","1225  17th St 100 Denver 80202"
"2017-BFN-0000417","Parking Lot, Garage","License Issued - Active","NA","1/26/2019 12:00:00 AM","LAZ PARKING MIDWEST, LLC","1601  WAZEE ST  DENVER 80202"
"2017-BFN-0000408","Parking Lot, Garage","License Issued - Active","NA","1/26/2019 12:00:00 AM","LAZ PARKING MIDWEST, LLC","2000  LARIMER ST  DENVER 80205"
"2017-BFN-0007975","Parking Lot, Garage","License Issued - Active","NA","11/17/2018 12:00:00 AM","LAZ PARKING MIDWEST, LLC","1660 N Lincoln St  Denver 80264"
"2017-BFN-0008584","Parking Lot, Garage","License Issued - Active","NA","1/23/2019 12:00:00 AM","KEY PARKING","2011  Glenarm Pl  Denver "
"2018-BFN-0002474","Parking Lot, Garage","License Issued - Active","NA","5/14/2019 12:00:00 AM","LAZ PARKING MIDWEST, LLC","500  21st St  Denver "
"2008-BFN-1035049","Pawnbroker","License Issued - Active","NA","8/15/2018 12:00:00 AM","VICTORIANA ANTIQUE & FINE JEWERLY","1417  LARIMER ST  DENVER 80202"
"2009-BFN-1041547","Pawnbroker","License Issued - Active","NA","12/31/2018 12:00:00 AM","LEN LARSON - GEMOLOGIST","6909 E HAMPDEN AVE  DENVER 80224"
"2016-BFN-0002383","Pedal Cab Company","License Issued - Active","NA","4/28/2019 12:00:00 AM","PEDAL TO THE METAL","756 N Inca St  Denver 80204"
"2016-BFN-0002637","Pedal Cab Company","License issued - Active","NA","5/6/2017 12:00:00 AM","LODO PEDICABS, LLC","1177  27th St  Denver 80205"
"2016-BFN-0005353","Pedal Cab Company","License Issued - Active","NA","8/19/2018 12:00:00 AM","ROCKET RICKSHAWS","235  DELAWARE ST  DENVER 80223"
"2016-BFN-0008131","Pedal Cab Company","License issued - Active","NA","12/8/2017 12:00:00 AM","JOSEPH WALLACE","431  YATES ST  DENVER 80204"
"2017-BFN-0007087","Pedal Cab Company","License Issued - Active","NA","9/12/2018 12:00:00 AM","RUBBERSIDE DOWN CYCLERY","670 N Inca St  Denver 80204"
"2018-BFN-0004028","Pedal Cab Company","License Issued - Active","NA","6/13/2019 12:00:00 AM","PEDL LLC","1500  LYNNWOOD DR  FT COLLINS 80521"
"2002-BFN-87467","Retail Food Establishment","License Issued - Active","Mobile","2/10/2019 12:00:00 AM","EL TACAZO #2","2600 W ALAMEDA AVE  DENVER 80219"
"2002-BFN-68053","Retail Food Establishment","License Issued - Active","Mobile","7/18/2018 12:00:00 AM","RICOS TACOS","1001  URSULA ST  AURORA 80011"
"2004-BFN-1009440","Retail Food Establishment","License Issued - Active","Mobile","4/22/2019 12:00:00 AM","PALETERIA ZACATECAS INC","5660 W COLFAX AVE  LAKEWOOD 80214"
"2004-BFN-1009447","Retail Food Establishment","License Issued - Active","Mobile","4/22/2019 12:00:00 AM","PALETERIA ZACATECAS INC","5660 W COLFAX AVE  LAKEWOOD 80214"
"2004-BFN-1009855","Retail Food Establishment","License Issued - Active","Mobile","4/30/2019 12:00:00 AM","PALETERIA CHIHUAHUA","3701 W 1ST AVE  DENVER 80219"
"2006-BFN-1020548","Retail Food Establishment","License Issued - Active","Mobile","5/4/2019 12:00:00 AM","PALETERIA CHIHUAHUA","3701 W 1ST AVE  DENVER 80219"
"2009-BFN-1040758","Retail Food Establishment","License Issued - Active","Mobile","3/1/2019 12:00:00 AM","LA VILLA REAL #1","4986  MORRISON RD  DENVER 80219"
"2009-BFN-1041812","Retail Food Establishment","License Issued - Active","Mobile","7/13/2018 12:00:00 AM","THE ICE CREAM WAGON #47","  6801 COLROADO BLVD   COMMERCE CITY "
"2009-BFN-1041807","Retail Food Establishment","License Issued - Active","Mobile","7/13/2018 12:00:00 AM","THE ICE CREAM WAGON #18","  6801 COLORADO BLVD  #18 COMMERCE CITY "
"2009-BFN-1041810","Retail Food Establishment","License Issued - Active","Mobile","7/13/2018 12:00:00 AM","THE ICE CREAM WAGON #45","  6801 COLORADO BLVD  #45 COMMERCE CITY "
"2011-BFN-1053725","Retail Food Establishment","License Issued - Active","Mobile","6/2/2019 12:00:00 AM","BASIC KNEADS PIZZA","4855 N NEWTON ST  DENVER 80221"
"2013-BFN-1068474","Retail Food Establishment","License Issued - Active","Mobile","10/17/2018 12:00:00 AM","TACOS Y TORTAS EL P.LUCHE","2055 W ARKANSAS AVE  DENVER 80223"
"2014-BFN-1072423","Retail Food Establishment","License Issued - Active","Mobile","4/16/2019 12:00:00 AM","ROBIN A GAVRISH, LLC","4039 N ORLEANS ST  DENVER 80249"
"2014-BFN-1073588","Retail Food Establishment","License Issued - Active","Mobile","5/28/2019 12:00:00 AM","GREEN GIRAFFE LLP","2275  PO BOX   CASTLE ROCK 80104"
"2014-BFN-1074299","Retail Food Establishment","License Issued - Active","Mobile","7/2/2019 12:00:00 AM","ROCKY MOUNTAIN SNOW FLAKES,LLC","11375 E 61ST ST STE 103 BROKEN ARROW 74012"
"2014-BFN-0004180","Retail Food Establishment","License Issued - Active","Mobile","10/9/2018 12:00:00 AM","BIG G'S BAR-B-QUE, LLC","5215  DEARBORN ST  DENVER 80239"
"2015-BFN-0000784","Retail Food Establishment","License Issued - Active","Mobile","2/18/2019 12:00:00 AM","THE HABS, LLC","713  BLUEBIRD LN  BAILEY 80421"
"2008-BFN-1032522","Retail Food Establishment","License Issued - Active","Mobile","4/12/2019 12:00:00 AM","SARAY LLC SARAY III","2339  Curtis St  Denver 80205"
"2009-BFN-1040733","Retail Food Establishment","License Issued - Active","Mobile","4/1/2019 12:00:00 AM","SNOW BUSINESS LLC","490 S CLAY ST  DENVER 80219"
"2015-BFN-0003637","Retail Food Establishment","License Issued - Active","Mobile","8/5/2018 12:00:00 AM","COASTAL SUMMIT FISH TACOS, LLC","6221  OSCEOLA WAY  ARVADA 80003"
"2015-BFN-0003828","Retail Food Establishment","License Issued - Active","Mobile","7/2/2018 12:00:00 AM","SUMMER SNOW LTD","1590  WYNKOOP ST 626 DENVER 80202"
"2006-BFN-1021513","Retail Food Establishment","License Issued - Active","Mobile","7/5/2018 12:00:00 AM","FELIPA MARQUES","1700  Blake St  Denver 80202"
"2015-BFN-0004569","Retail Food Establishment","License Issued - Active","Mobile","9/24/2018 12:00:00 AM","OBSERV, INC","4333 N CHEROKEE ST  DENVER 80216"
"2015-BFN-0006439","Retail Food Establishment","License Issued - Active","Mobile","10/8/2018 12:00:00 AM","MLK CATERING LLC","5381 N Topeka Ct  Denver 80239"
"2016-BFN-0000642","Retail Food Establishment","License Issued - Active","Mobile","3/9/2019 12:00:00 AM","ROLL IT UP SUSHI TRUCK,LLC","770 S MILLER CT  LAKEWOOD 80226"
"2015-BFN-0000936","Retail Food Establishment","License Issued - Active","Mobile","3/19/2019 12:00:00 AM","DEVIL DOG GRILL","1335 S Josephine ST  Denver 80210"
"2016-BFN-0002281","Retail Food Establishment","License Issued - Active","Mobile","6/6/2019 12:00:00 AM","BAREFOOT BBQ LLC","750  RIDGESIDE DR  GOLDEN 80401"
"2016-BFN-0003540","Retail Food Establishment","License Issued - Active","Mobile","7/14/2018 12:00:00 AM","WHAT WOULD CHEESUS DO, LLC","2318  EMERSON ST  DENVER 80205"
"2016-BFN-0004889","Retail Food Establishment","License Issued - Active","Mobile","10/31/2018 12:00:00 AM","MARISCOS EL MALECON LLC","2745 W LOUISIANA AVE  DENVER 80219"
"2016-BFN-0006270","Retail Food Establishment","License Issued - Active","Mobile","10/5/2018 12:00:00 AM","THE PINK TRUCK CATERING","     DENVER "
"2016-BFN-0006609","Retail Food Establishment","License Issued - Active","Mobile","10/31/2018 12:00:00 AM","MAINE-IAC LOBSTER CO., LLC","3024 W 34TH AVE  DENVER 80211"
"2001-BFN-97260","Retail Food Establishment","License Issued - Active","Mobile","10/31/2018 12:00:00 AM","EL BURRITO","1999 S CLAY ST  DENVER 80219"
"2016-BFN-0008573","Retail Food Establishment","License Issued - Active","Mobile","12/23/2018 12:00:00 AM","THE CHILI TRUCK LLC","7035  TURWESTON LN  CASTLE PINES 80108"
"2017-BFN-0000227","Retail Food Establishment","License Issued - Active","Mobile","2/27/2019 12:00:00 AM","KONA ICE OF SOUTH CENTRAL DENVER","16788 E BELLEVIEW PL  CENTENNIAL 80015"
"2017-BFN-0000242","Retail Food Establishment","License Issued - Active","Mobile","3/14/2019 12:00:00 AM","MARCOS COAL FIRED PIZZA INC","2129  LARIMER ST  DENVER 80205"
"2017-BFN-0003437","Retail Food Establishment","License Issued - Active","Mobile","6/19/2019 12:00:00 AM","ICE CREAM NATION LLC","937  50TH AVE  GREELEY 80634"
"2017-BFN-0003808","Retail Food Establishment","License Issued - Active","Mobile","5/25/2019 12:00:00 AM","BA-NOM-A-NOM","3690 E 92ND PL  THORNTON 80229"
"2017-BFN-0003849","Retail Food Establishment","License Issued - Active","Mobile","5/26/2019 12:00:00 AM","WRIGHTS AMUSEMENTS","13002  COUNTY 102 RD  ELBERT 80106"
"2017-BFN-0004143","Retail Food Establishment","License Issued - Active","Mobile","9/22/2018 12:00:00 AM","JOSE GUADALUPE ALVAREZ","10173  FAIRPLAY ST  COMMERCE CITY 80022"
"2017-BFN-0004292","Retail Food Establishment","License Issued - Active","Mobile","9/29/2018 12:00:00 AM","CHAYITO'S LATIN FARE","7495  LOWELL BLVD  WESTMINSTER 80030"
"2017-BFN-0004547","Retail Food Establishment","License Issued - Active","Mobile","6/30/2018 12:00:00 AM","SUNG YIN LIU","21375 E PRENTICE LN  CENTENNIAL 80015"
"2017-BFN-0005556","Retail Food Establishment","License Issued - Active","Mobile","7/28/2018 12:00:00 AM","CROCK SPOT LLC","2511 W 44TH AVE  Denver 80211"
"2017-BFN-0005982","Retail Food Establishment","License Issued - Active","Mobile","9/29/2018 12:00:00 AM","MAURICIO R MEJIA & KELLY J LUMBAR","7801 E COLFAX AVE  DENVER 80220"
"2017-BFN-0006588","Retail Food Establishment","License Issued - Active","Mobile","8/31/2018 12:00:00 AM","PUGH CONCESSIONS","9024  WIGGINS RD  GIBSONTON 33534"
"2017-BFN-0006589","Retail Food Establishment","License Issued - Active","Mobile","8/31/2018 12:00:00 AM","PUGH CONCESSIONS","9024  WIGGINS RD  GIBSONTON 33534"
"2017-BFN-0006591","Retail Food Establishment","License Issued - Active","Mobile","8/31/2018 12:00:00 AM","PUGH CONCESSIONS","9024  WIGGINS RD  GIBSONTON 33534"
"2014-BFN-0003019","Retail Food Establishment","License Issued - Active","Mobile","9/3/2018 12:00:00 AM","TACOS DON PEDRO","1732  OAKLAND ST  AURORA 80010"
"2017-BFN-0007239","Retail Food Establishment","License Issued - Active","Mobile","10/13/2018 12:00:00 AM","HAMBURGESAS RIOS ROSAS LLC","3035  FOREST ST  DENVER 80207"
"2017-BFN-0007287","Retail Food Establishment","License Issued - Active","Mobile","9/29/2018 12:00:00 AM","HANGRY OHANA, LLC","4423 S FUNDY ST  CENTENNIAL 80015"
"2017-BFN-0007677","Retail Food Establishment","License Issued - Active","Mobile","10/20/2018 12:00:00 AM","DIG IT GELATO AND COFFEE LLC","120  EDGEVIEW DR 3306 BROOMFIELD 80021"
"2017-BFN-0007908","Retail Food Establishment","License Issued - Active","Mobile","11/24/2018 12:00:00 AM","TACOS AL VAPOR LOS BRONCOS LLC","15270  LOUSIANA DR 9181 AURORA 80216"
"2017-BFN-0007928","Retail Food Establishment","License Issued - Active","Mobile","11/24/2018 12:00:00 AM","GOOD EARTH VENTURES LLC","4646  LOGAN ST  DENVER 80216"
"2017-BFN-0008300","Retail Food Establishment","License Issued - Active","Mobile","12/8/2018 12:00:00 AM","CULICHI TOWN TACOS INC","2610 W ALAMEDA AVE  DENVER 80219"
"2017-BFN-0008982","Retail Food Establishment","License Issued - Active","Mobile","2/26/2019 12:00:00 AM","DOGTOWN","16  TH AND CALIFORNIA   DENVER 80202"
"2017-BFN-0009081","Retail Food Establishment","License Issued - Active","Mobile","1/16/2019 12:00:00 AM","TACOS EL PICACHO LLC","4152  MALTA ST  DENVER 80249"
"2018-BFN-0000267","Retail Food Establishment","License Issued - Active","Mobile","1/29/2019 12:00:00 AM","CYNDY'S FOOD-LISH-US & CATERING LLC","25161 E ARCHER DR  AURORA 80018"
"2018-BFN-0000284","Retail Food Establishment","License Issued - Active","Mobile","4/30/2019 12:00:00 AM","THE VANILLA BEAN PASTRY TRUCK, LLC","2480  OVERLOOK DR  BROOMFIELD 80020"
"2018-BFN-0000404","Retail Food Establishment","License Issued - Active","Mobile","1/31/2019 12:00:00 AM","ANY STREET GROCERY","1650 S QUIVAS ST  DENVER 80223"
"2018-BFN-0000856","Retail Food Establishment","License Issued - Active","Mobile","3/12/2019 12:00:00 AM","TOP DAWG LLC","     DENVER "
"2018-BFN-0001044","Retail Food Establishment","License Issued - Active","Mobile","4/9/2019 12:00:00 AM","PIZZA HOUSE OF COLORADO, LLC","5260 S ULSTER ST 3424 GREENWOOD VILLAGE 80011"
"2018-BFN-0001103","Retail Food Establishment","License Issued - Active","Mobile","3/14/2019 12:00:00 AM","2 LUCKY MONKEYS LLC","2662 S CATHAY WAY 211 AURORA 80013"
"2018-BFN-0001421","Retail Food Establishment","License Issued - Active","Mobile","3/15/2019 12:00:00 AM","BLACK FOREST CHEW-CHEW LLC","4590  ARROWHEAD DR  COLORADO SPRINGS 80908"
"2018-BFN-0002192","Retail Food Establishment","License Issued - Active","Mobile","6/4/2019 12:00:00 AM","WHAT WOULD CHESSUS DO LLC","1451  24th St 380 Denver 80205"
"2017-BFN-0008747","Burglar Alarm System Company","License Issued - Active","NA","11/27/2018 12:00:00 AM","RED ROCKS FIRE PROTECTION","1215  LAURENWOOD WAY  HIGHLANDS RANCH 80129"
"2017-BFN-0008770","Burglar Alarm System Company","License Issued - Active","NA","12/4/2018 12:00:00 AM","CENTRAL MONITORING SYSTEMS","811 W JERICHO TURNPIKE  108-E SMITHTOWN 11787"
"2018-BFN-0000221","Burglar Alarm System Company","License Issued - Active","NA","1/22/2019 12:00:00 AM","C&S SPECIALTY CORPORATION","5609 W 6TH AVE B LAKEWOOD 80214"
"2018-BFN-0000483","Burglar Alarm System Company","License Issued - Active","NA","1/26/2019 12:00:00 AM","SPACE CAT SECURITY LLC","7919 E MCKINLEY ST  SCOTTSDALE 85257"
"2018-BFN-0001136","Burglar Alarm System Company","License Issued - Active","NA","2/28/2019 12:00:00 AM","SECURE COMMUNICATIONS GROUP","6785 W 84TH WAY 55 ARVADA 80003"
"2017-BFN-0009024","Cannabis Consumption","License Issued - Active","Establishment","3/16/2019 12:00:00 AM","1130 YUMA LLC","1130 N Yuma CT  Denver 80204"
"2001-BFN-46078","Child Care Center","License Issued - Active","NA","4/15/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","1150  GARFIELD ST  DENVER 80206"
"2001-BFN-85058","Child Care Center","License Issued - Active","NA","10/7/2018 12:00:00 AM","SOUTHWEST YMCA","5181 W KENYON AVE  DENVER 80236"
"2002-BFN-34539","Child Care Center","License Issued - Active","NA","3/6/2019 12:00:00 AM","DAY ONE DAY CARE LEARNING CENTER","1403 N WILLOW ST  DENVER 80220"
"2002-BFN-11573","Child Care Center","License Issued - Active","NA","3/23/2019 12:00:00 AM","DENVER CHILD CARE CENTER","3151 W FLORIDA AVE  DENVER 80219"
"2002-BFN-40030","Child Care Center","License Issued - Active","NA","3/28/2019 12:00:00 AM","AUGUSTANA EARLY LEARNING CENTER","5000 E ALAMEDA AVE  DENVER 80222"
"2002-BFN-50702","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","4500 S QUITMAN ST  DENVER 80236"
"2002-BFN-50657","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","1580 N JULIAN ST  DENVER 80204"
"2002-BFN-50670","Child Care Center","License Issued - Active","NA","6/30/2018 12:00:00 AM","DENVER PUBLIC SCHOOLS","2949  CALIFORNIA ST  DENVER 80205"
"2002-BFN-50678","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","2940  DEXTER ST  DENVER 80207"
"2002-BFN-50680","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","2030 W ALAMEDA AVE  DENVER 80223"
"2002-BFN-50686","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","4665 N RALEIGH ST  DENVER 80212"
"2002-BFN-89114","Child Care Center","License Issued - Active","NA","5/22/2019 12:00:00 AM","THIRD WAY CENTER/PONTIAC","1735  PONTIAC ST  DENVER 80220"
"2002-BFN-1000226","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","8001 E CEDAR AVE  DENVER 80231"
"2002-BFN-49003","Child Care Center","License Issued - Active","NA","7/31/2018 12:00:00 AM","WASHINGTON PARK PRESCHOOL AND PARENT'S DAY OUT","1955 E ARIZONA AVE  DENVER 80210"
"2002-BFN-97475","Child Care Center","License Issued - Active","NA","4/15/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","3655  WYANDOT ST  DENVER 80211"
"2002-BFN-7022","Child Care Center","License Issued - Active","NA","11/18/2018 12:00:00 AM","CHILDREN'S CENTER","5209 E MONTVIEW BLVD  DENVER 80207"
"2004-BFN-1009573","Child Care Center","License Issued - Active","NA","5/21/2019 12:00:00 AM","SUNSHINE ACADEMY","1395 N LOWELL BLVD  DENVER 80204"
"2005-BFN-1013629","Child Care Center","License Issued - Active","NA","7/1/2019 12:00:00 AM","CHILDREN'S HAVEN CHILD CARE CENTER","2600 S SHERIDAN BLVD  DENVER 80219"
"2005-BFN-1014719","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","1330 N FOX ST  DENVER 80204"
"2005-BFN-1015576","Child Care Center","License Issued - Active","NA","7/11/2018 12:00:00 AM","ILIFF PRESCHOOL, INC","4140 E ILIFF AVE  DENVER 80222"
"2005-BFN-1016460","Child Care Center","License Issued - Active","NA","9/1/2018 12:00:00 AM","CHILDREN'S CORNER LEARNING CENTER","4780  ELIOT ST  DENVER 80211"
"2007-BFN-1028168","Child Care Center","License Issued - Active","NA","8/13/2018 12:00:00 AM","MONTESSORI CHILDREN'S HOUSE OF DENVER","2600  LEYDEN ST  DENVER 80207"
"2007-BFN-1028832","Child Care Center","License Issued - Active","NA","8/4/2018 12:00:00 AM","ANCHOR CENTER FOR BLIND CHILDREN","2550  ROSLYN ST  DENVER 80238"
"2009-BFN-1043378","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","4130 N NAVAJO ST  DENVER 80211"
"2009-BFN-1043386","Child Care Center","License Issued - Active","NA","6/30/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","2100 N AKRON WAY  DENVER 80238"
"2010-BFN-1045318","Child Care Center","License Issued - Active","NA","3/10/2019 12:00:00 AM","LIVING CHURCH","2445 S ASH ST  DENVER 80222"
"2011-BFN-1054899","Child Care Center","License Issued - Active","NA","8/18/2018 12:00:00 AM","MONTESSORI CHILDREN'S HOUSE OF DENVER","2211 N XANTHIA WAY  DENVER 80238"
"2012-BFN-1058987","Child Care Center","License Issued - Active","NA","7/6/2018 12:00:00 AM","BABYTOPIA @ THE ROSE CHILD CARE CENTER","2820 N HARRISON ST  DENVER 80205"
"2012-BFN-1063058","Child Care Center","License Issued - Active","NA","1/17/2019 12:00:00 AM","UNIVERSITY OF DENVER","2201 E ASBURY AVE  DENVER 80210"
"2013-BFN-1066554","Child Care Center","License Issued - Active","NA","6/7/2019 12:00:00 AM","CREATIVE LEARNING PRESCHOOL","7505 E 35TH AVE 340 DENVER 80238"
"2013-BFN-1066802","Child Care Center","License Issued - Active","NA","4/22/2019 12:00:00 AM","DENVER CHILD CARE CENTER,INC","3155 W FLORIDA AVE  DENVER 80219"
"2013-BFN-1067651","Child Care Center","License Issued - Active","NA","8/16/2018 12:00:00 AM","AGAPE ECE CHILD CARE CENTER","1463 N IVY ST  DENVER 80220"
"2014-BFN-0002067","Child Care Center","License Issued - Active","NA","8/22/2018 12:00:00 AM","NINA BEES EARLY LEARNING CENTER","3131 N Osceola St  Denver 80212"
"2014-BFN-0002750","Child Care Center","License Issued - Active","NA","9/26/2018 12:00:00 AM","SEWALL CHILD DEVELOPMENT CENTER AT ISABELLA BIRD","2701 N LIMA ST  DENVER 80238"
"2014-BFN-0002974","Child Care Center","License Issued - Active","NA","3/24/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","4580 N Dearborn   Denver 80239"
"2014-BFN-0003009","Child Care Center","License Issued - Active","NA","10/30/2018 12:00:00 AM","DENVER WALDORF SCHOOL ASSOCIATION","2100 S Pennsylvania ST  Denver 80210"
"2015-BFN-0004399","Child Care Center","License Issued - Active","NA","4/15/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","2525 W 29th Ave  Denver 80211"
"2015-BFN-0004820","Child Care Center","License Issued - Active","NA","9/2/2018 12:00:00 AM","ST STEPHEN MISSIONARY BAPTIST CHURCH","2050 N Uinta   Denver "
"2015-BFN-0005028","Child Care Center","License Issued - Active","NA","8/24/2018 12:00:00 AM","ACADEMY 360","12000 E 47th Ave  Denver 80239"
"2015-BFN-0005161","Child Care Center","License Issued - Active","NA","8/21/2018 12:00:00 AM","REACH CHARTER SCHOOL","940 N Fillmore St  Denver 80206"
"2015-BFN-0005232","Child Care Center","License Issued - Active","NA","8/28/2018 12:00:00 AM","DPR-COMMUNITY RECREATION SOAR AFTER SCHOOL","2409  ARAPAHOE ST  DENVER 80205"
"2016-BFN-0002639","Child Care Center","License Issued - Active","NA","8/4/2019 12:00:00 AM","ESCUELA DE GUADALUPE","660 N JULIAN ST  DENVER 80204"
"2016-BFN-0007302","Child Care Center","License Issued - Active","NA","4/15/2019 12:00:00 AM","DENVER PUBLIC SCHOOLS","4909 N CATHAY ST  DENVER 80249"
"2016-BFN-0008235","Child Care Center","License Issued - Active","NA","2/3/2019 12:00:00 AM","MINDSPARK@STEELE LLC","3914 N KING ST  DENVER 80211"
"2017-BFN-0000731","Child Care Center","License Issued - Active","NA","2/24/2019 12:00:00 AM","BRIGHT HORIZONS MONTESSORI AT DENVER PLACE","999  18th ST 350 Denver 80202"
